# Wavelength	Leaf reflectance	Leaf transmittance	Soil reflectance	Direct-to-global irradiance ratio
#  N=1.506743685, Cab=49.749954, Cw=0.009835775, Cm=0.0041699, Car=11.78, Cbrown=0.0, Anth=7.8, Cp=0.00096, Ccl=0.00228
8.150000000000000000e+02	4.646612285547959686e-01	4.947041653410811368e-01	0.000000000000000000e+00	9.035546855365990115e-01
8.200000000000000000e+02	4.646426533852906493e-01	4.946852663186565580e-01	0.000000000000000000e+00	9.046690709256396401e-01
8.250000000000000000e+02	4.645863563201788060e-01	4.946279875444524743e-01	0.000000000000000000e+00	9.057570700129494723e-01
8.300000000000000000e+02	4.645054347044056398e-01	4.944715512106475086e-01	0.000000000000000000e+00	9.068170232870410574e-01
8.350000000000000000e+02	4.644110864024915131e-01	4.943755623745343386e-01	0.000000000000000000e+00	9.078519949385349674e-01
8.400000000000000000e+02	4.643633465885405598e-01	4.943269921594388161e-01	0.000000000000000000e+00	9.088600550890548746e-01
8.450000000000000000e+02	4.643389971972389785e-01	4.943022191500572871e-01	0.000000000000000000e+00	9.098443912738873873e-01
8.500000000000000000e+02	4.642811153922997702e-01	4.943174189627950743e-01	0.000000000000000000e+00	9.108050031829745263e-01
8.550000000000000000e+02	4.642604451718113645e-01	4.942963876689608349e-01	0.000000000000000000e+00	9.117410081429465629e-01
8.600000000000000000e+02	4.641979339774373048e-01	4.943068926685387221e-01	0.000000000000000000e+00	9.126545873590136138e-01
8.650000000000000000e+02	4.641348461131850067e-01	4.943168274038557408e-01	0.000000000000000000e+00	9.137452521334569200e-01
8.700000000000000000e+02	4.641064678510591346e-01	4.942879494259397322e-01	0.000000000000000000e+00	9.148138178555406119e-01
8.750000000000000000e+02	4.640235145867750433e-01	4.942776820456985520e-01	0.000000000000000000e+00	9.158609352394010417e-01
8.800000000000000000e+02	4.638993091993022233e-01	4.942996327381953270e-01	0.000000000000000000e+00	9.168865850816584340e-01
8.850000000000000000e+02	4.638136891057728639e-01	4.942866949056456405e-01	0.000000000000000000e+00	9.178909588670958186e-01
8.900000000000000000e+02	4.637286650057678150e-01	4.942743771101909545e-01	0.000000000000000000e+00	9.188758996428065817e-01
8.950000000000000000e+02	4.636100893299979764e-01	4.943021862148356815e-01	0.000000000000000000e+00	9.198404977920968673e-01
9.000000000000000000e+02	4.635158564665288750e-01	4.942805362845236195e-01	0.000000000000000000e+00	9.207877612583494908e-01
9.050000000000000000e+02	4.633917235352943975e-01	4.943027839600611095e-01	0.000000000000000000e+00	9.217147124719939910e-01
9.100000000000000000e+02	4.632834977246150232e-01	4.942669248275284311e-01	0.000000000000000000e+00	9.226238884818830366e-01
9.150000000000000000e+02	4.631107780086259895e-01	4.942397792396704403e-01	0.000000000000000000e+00	9.235141200673275819e-01
9.200000000000000000e+02	4.629043153730140747e-01	4.941038884961361233e-01	0.000000000000000000e+00	9.243884089262791592e-01
9.250000000000000000e+02	4.625310073834705271e-01	4.938724521530312717e-01	0.000000000000000000e+00	9.252462634491488425e-01
9.300000000000000000e+02	4.620151369266982666e-01	4.934957434751069960e-01	0.000000000000000000e+00	9.260853982215161428e-01
9.350000000000000000e+02	4.614951604295091103e-01	4.931892777474192191e-01	0.000000000000000000e+00	9.269126864777823549e-01
9.400000000000000000e+02	4.607549771149899165e-01	4.925838092850880479e-01	0.000000000000000000e+00	9.277181989417788710e-01
9.450000000000000000e+02	4.597972155207424860e-01	4.917563543936239734e-01	0.000000000000000000e+00	9.285147062160138409e-01
9.500000000000000000e+02	4.584285590698773949e-01	4.905096111473917775e-01	0.000000000000000000e+00	9.292886355585612268e-01
9.550000000000000000e+02	4.568431754184116844e-01	4.890413387936583534e-01	0.000000000000000000e+00	9.300539463136686669e-01
9.600000000000000000e+02	4.556571355575469440e-01	4.879800085283102495e-01	0.000000000000000000e+00	9.308037775649966594e-01
9.650000000000000000e+02	4.549706754497954142e-01	4.875026002511864132e-01	0.000000000000000000e+00	9.315382404565656360e-01
9.700000000000000000e+02	4.546880635381995717e-01	4.874373952315138592e-01	0.000000000000000000e+00	9.322595615735307373e-01
9.750000000000000000e+02	4.544593740689671368e-01	4.874273583843972135e-01	0.000000000000000000e+00	9.329681193596661704e-01
9.800000000000000000e+02	4.544510359267426303e-01	4.876425034163380801e-01	0.000000000000000000e+00	9.336627545597315780e-01
9.850000000000000000e+02	4.545242556741270756e-01	4.880158695228472565e-01	0.000000000000000000e+00	9.343442479546993917e-01
9.900000000000000000e+02	4.547545878079193860e-01	4.884754194808165195e-01	0.000000000000000000e+00	9.350143428834507553e-01
9.950000000000000000e+02	4.550221779104372533e-01	4.890482546518249429e-01	0.000000000000000000e+00	9.356725709770059574e-01
1.000000000000000000e+03	4.553417830139037670e-01	4.896748033889359863e-01	0.000000000000000000e+00	9.363174798514763975e-01
